,Temperature©[min],D.O. (mg/L)[max],pH[min],Conductivity(μSiemens/cm)[min],BOD (mg/L)[min],Total coliform[min]
125,20.0,9.2,7.5,212.0,1.2,115000.0
126,22.0,8.6,7.6,208.0,1.7,22000.0
127,22.0,7.8,7.5,275.0,1.2,30000.0
128,18.0,7.8,5.8,247.0,1.9,22000.0
129,18.0,7.9,7.3,252.0,1.2,70000.0
130,20.0,7.6,6.77,177.0,1.1,70000.0
131,,,,,,
132,15.0,8.8,7.2,249.0,0.6,11000.0
133,19.0,8.7,7.6,257.0,0.6,11000.0
134,20.0,7.1,7.3,217.0,1.0,11000.0
135,24.0,7.4,6.9,253.0,1.4,11000.0
136,19.0,8.1,6.1,302.0,1.3,13000.0
137,21.0,7.5,7.2,301.0,1.4,11000.0
138,16.0,8.2,6.78,231.0,1.05,13000.0
